name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,log_kms_driven
TVS Apache RTR 160,50000,8,1,0,40000,87958.71405750798,10.596659732783579
Honda Dio,35000,10,1,0,25000,87958.71405750798,10.12667110305036
Royal Enfield Thunderbird 350,160000,6,1,0,19000,87958.71405750798,9.852246888342531
Hero Maestro,25000,9,1,0,40000,49412.0,10.596659732783579
Hero Honda CBZ extreme,42000,14,1,0,51000,87958.71405750798,10.839600519357369
Bajaj Dominar 400,200000,5,1,0,7600,87958.71405750798,8.936035096566041
Honda Activa 125,40000,10,1,0,14965,87958.71405750798,9.613536240640304
Royal Enfield Classic Desert Storm,130000,9,1,0,25000,181445.0,10.12667110305036
KTM 250 Duke,195000,5,1,0,6000,87958.71405750798,8.699681400989514
KTM RC 390,270000,5,1,0,2380,87958.71405750798,7.7752758464868625
Kawasaki Ninja 650 [2018-2019],425000,7,1,0,13600,599000.0,9.517898598432753
TVS Apache RTR 200 4V,85000,6,1,0,10000,87958.71405750798,9.210440366976517
Kawasaki Ninja 250R,125000,14,1,0,21000,317934.0,9.952325334619427
TVS Wego,45000,6,1,0,10000,54760.0,9.210440366976517
Honda CBR-250R,85000,10,1,0,18600,171646.0,9.83097062169695
Bajaj Pulsar NS200,85000,6,1,0,7750,87958.71405750798,8.955577146281511
Suzuki GSX S750,760000,5,1,0,2800,752020.0,7.937731775260109
Royal Enfield Thunderbird 350,100000,9,1,0,30000,87958.71405750798,10.308985993422082
Royal Enfield Classic 350,95000,9,1,0,9800,87958.71405750798,9.19023970026918
Honda CB Shine SP,48000,9,1,0,25000,67469.0,10.12667110305036
Bajaj Avenger Street 150 [2018],40000,8,1,0,29689,80435.0,10.298565567757805
Honda CBF Stunner,37000,10,1,0,43000,58757.0,10.668978650219241
Bajaj Avenger [2015],38000,10,1,0,28243,75502.0,10.248636324636237
Suzuki Gixxer [2014-2018],55000,9,1,0,25000,78316.0,10.12667110305036
Suzuki Access 125,45000,7,1,0,22300,87958.71405750798,10.012386799492118
TVS Scooty Streak,18000,15,1,0,33595,44140.0,10.422162291245519
Royal Enfield Thunderbird 350X,140000,6,1,0,5505,87958.71405750798,8.613593685702552
Yamaha Rx,70000,24,1,0,5000,87958.71405750798,8.517393171418904
Hero Honda Splendor Plus,15000,17,1,0,30000,87958.71405750798,10.308985993422082
Bajaj Pulsar 125,65000,5,1,0,16000,87958.71405750798,9.680406499268875
Honda Activa 5G,42000,6,1,0,22000,57557.0,9.99884318585288
Yamaha Fazer Dlx,58000,12,1,0,40000,87958.71405750798,10.596659732783579
Harley-Davidson Street 750,330000,10,1,0,6500,534000.0,8.77971129020447
Hero Xtreme 2014,35000,11,1,0,15000,72973.0,9.61587214452889
Royal Enfield Classic 350,162000,6,1,0,17365,87958.71405750798,9.76226955062059
Hero Honda Hunk,28000,15,1,0,40000,87958.71405750798,10.596659732783579
Royal Enfield Interceptor 650,285000,5,1,0,5500,87958.71405750798,8.612685172875459
Royal Enfield Classic 350,125000,7,1,0,33900,87958.71405750798,10.431199791458543
Bajaj Pulsar 150 [2001-2011],15000,19,1,0,47670,87958.71405750798,10.772078525532862
Honda Activa [2000-2015],29500,11,1,0,45000,50267.0,10.714439990727769
TVS Apache RR310,200000,5,1,0,5000,87958.71405750798,8.517393171418904
Jawa Standard,160000,5,1,0,5700,87958.71405750798,8.648396877031582
Hero Honda Splendor PRO,30000,12,1,0,22866,87958.71405750798,10.037450102199095
Yamaha FZ25,110000,5,1,0,10000,133680.0,9.210440366976517
Bajaj Pulsar 220F,70000,8,1,0,31000,87958.71405750798,10.34177474101152
Yamaha Fascino 110,69000,5,1,0,1600,57112.0,7.3783837129967145
Yamaha FZ16,30000,13,1,0,44000,78712.0,10.691967639914864
Yamaha FZ16,30000,14,1,0,70000,78712.0,11.156264806643742
TVS Star City Plus,42000,7,1,0,21000,87958.71405750798,9.952325334619427
Royal Enfield Classic 350,160000,6,1,0,17365,87958.71405750798,9.76226955062059
Bajaj Pulsar 135 LS,20000,14,1,0,80000,64589.0,11.289794413577894
Suzuki Access 125,45000,7,1,0,15000,87958.71405750798,9.61587214452889
Bajaj Pulsar 135 LS,23000,14,1,0,77000,64589.0,11.251573687764477
UM Renegade Commando,140000,7,1,0,40000,180525.0,10.596659732783579
